numero;fase;grupo;timeCasa;timeVisitante;dataHora
1;Fase de Grupos;A;México;África do Sul;2026-06-11T16:00:00-03:00
2;Fase de Grupos;A;Coreia do Sul;Tchéquia;2026-06-11T23:00:00-03:00
3;Fase de Grupos;B;Canadá;Bósnia e Herzegovina;2026-06-12T16:00:00-03:00
4;Fase de Grupos;D;Estados Unidos;Paraguai;2026-06-12T22:00:00-03:00
5;Fase de Grupos;C;Haiti;Escócia;2026-06-13T22:00:00-03:00
6;Fase de Grupos;D;Austrália;Turquia;2026-06-14T01:00:00-03:00
7;Fase de Grupos;C;Brasil;Marrocos;2026-06-13T19:00:00-03:00
8;Fase de Grupos;B;Catar;Suíça;2026-06-13T16:00:00-03:00
9;Fase de Grupos;E;Costa do Marfim;Equador;2026-06-14T20:00:00-03:00
10;Fase de Grupos;E;Alemanha;Curaçao;2026-06-14T14:00:00-03:00
11;Fase de Grupos;F;Países Baixos;Japão;2026-06-14T17:00:00-03:00
12;Fase de Grupos;F;Suécia;Tunísia;2026-06-14T23:00:00-03:00
13;Fase de Grupos;H;Arábia Saudita;Uruguai;2026-06-15T19:00:00-03:00
14;Fase de Grupos;H;Espanha;Cabo Verde;2026-06-15T13:00:00-03:00
15;Fase de Grupos;G;Irã;Nova Zelândia;2026-06-15T22:00:00-03:00
16;Fase de Grupos;G;Bélgica;Egito;2026-06-15T16:00:00-03:00
17;Fase de Grupos;I;França;Senegal;2026-06-16T16:00:00-03:00
18;Fase de Grupos;I;Iraque;Noruega;2026-06-16T19:00:00-03:00
19;Fase de Grupos;J;Argentina;Argélia;2026-06-16T22:00:00-03:00
20;Fase de Grupos;J;Áustria;Jordânia;2026-06-17T01:00:00-03:00
21;Fase de Grupos;L;Gana;Panamá;2026-06-17T20:00:00-03:00
22;Fase de Grupos;L;Inglaterra;Croácia;2026-06-17T17:00:00-03:00
23;Fase de Grupos;K;Portugal;RD Congo;2026-06-17T14:00:00-03:00
24;Fase de Grupos;K;Uzbequistão;Colômbia;2026-06-17T23:00:00-03:00
25;Fase de Grupos;A;Tchéquia;África do Sul;2026-06-18T13:00:00-03:00
26;Fase de Grupos;B;Suíça;Bósnia e Herzegovina;2026-06-18T16:00:00-03:00
27;Fase de Grupos;B;Canadá;Catar;2026-06-18T19:00:00-03:00
